modelName;gateways;flowNodes;sequenceFlows;flowElements
151.bpmn;200;555;654;1209
152.bpmn;202;559;659;1218
153.bpmn;204;563;664;1227
154.bpmn;204;566;667;1233
155.bpmn;206;570;672;1242
156.bpmn;208;574;677;1251
157.bpmn;208;577;680;1257
158.bpmn;210;581;685;1266
159.bpmn;212;585;690;1275
160.bpmn;212;588;693;1281
161.bpmn;214;592;698;1290
162.bpmn;216;596;703;1299
163.bpmn;216;599;706;1305
164.bpmn;218;603;711;1314
165.bpmn;220;607;716;1323
166.bpmn;220;610;719;1329
167.bpmn;222;614;724;1338
168.bpmn;224;618;729;1347
169.bpmn;224;621;732;1353
170.bpmn;226;625;737;1362
171.bpmn;228;629;742;1371
172.bpmn;228;632;745;1377
173.bpmn;230;636;750;1386
174.bpmn;232;640;755;1395
175.bpmn;232;643;758;1401
176.bpmn;234;647;763;1410
177.bpmn;236;651;768;1419
178.bpmn;236;654;771;1425
179.bpmn;238;658;776;1434
180.bpmn;240;662;781;1443
181.bpmn;240;665;784;1449
182.bpmn;242;669;789;1458
183.bpmn;244;673;794;1467
184.bpmn;244;676;797;1473
185.bpmn;246;680;802;1482
186.bpmn;248;684;807;1491
187.bpmn;248;687;810;1497
188.bpmn;250;691;815;1506
189.bpmn;252;695;820;1515
190.bpmn;252;698;823;1521
191.bpmn;254;702;828;1530
192.bpmn;256;706;833;1539
193.bpmn;256;709;836;1545
194.bpmn;258;713;841;1554
195.bpmn;260;717;846;1563
196.bpmn;260;720;849;1569
197.bpmn;262;724;854;1578
198.bpmn;264;728;859;1587
199.bpmn;264;731;862;1593
200.bpmn;266;735;867;1602
201.bpmn;268;739;872;1611
202.bpmn;268;742;875;1617
203.bpmn;270;746;880;1626
204.bpmn;272;750;885;1635
205.bpmn;272;753;888;1641
206.bpmn;274;757;893;1650
207.bpmn;276;761;898;1659
208.bpmn;276;764;901;1665
209.bpmn;278;768;906;1674
210.bpmn;280;772;911;1683
211.bpmn;280;775;914;1689
212.bpmn;282;779;919;1698
213.bpmn;284;783;924;1707
214.bpmn;284;786;927;1713
215.bpmn;286;790;932;1722
216.bpmn;288;794;937;1731
217.bpmn;288;797;940;1737
218.bpmn;290;801;945;1746
219.bpmn;292;805;950;1755
220.bpmn;292;808;953;1761
221.bpmn;294;812;958;1770
222.bpmn;296;816;963;1779
223.bpmn;296;819;966;1785
224.bpmn;298;823;971;1794
225.bpmn;300;827;976;1803
226.bpmn;300;830;979;1809
227.bpmn;302;834;984;1818
228.bpmn;304;838;989;1827
229.bpmn;304;841;992;1833
230.bpmn;306;845;997;1842
231.bpmn;308;849;1002;1851
232.bpmn;308;852;1005;1857
233.bpmn;310;856;1010;1866
234.bpmn;312;860;1015;1875
235.bpmn;312;863;1018;1881
236.bpmn;314;867;1023;1890
237.bpmn;316;871;1028;1899
238.bpmn;316;874;1031;1905
239.bpmn;318;878;1036;1914
240.bpmn;320;882;1041;1923
241.bpmn;320;885;1044;1929
242.bpmn;322;889;1049;1938
243.bpmn;324;893;1054;1947
244.bpmn;324;896;1057;1953
245.bpmn;326;900;1062;1962
246.bpmn;328;904;1067;1971
247.bpmn;328;907;1070;1977
248.bpmn;330;911;1075;1986
249.bpmn;332;915;1080;1995
250.bpmn;332;918;1083;2001
251.bpmn;334;922;1088;2010
252.bpmn;336;926;1093;2019
253.bpmn;336;929;1096;2025
254.bpmn;338;933;1101;2034
255.bpmn;340;937;1106;2043
256.bpmn;340;940;1109;2049
257.bpmn;342;944;1114;2058
258.bpmn;344;948;1119;2067
259.bpmn;344;951;1122;2073
260.bpmn;346;955;1127;2082
261.bpmn;348;959;1132;2091
262.bpmn;348;962;1135;2097
263.bpmn;350;966;1140;2106
264.bpmn;352;970;1145;2115
265.bpmn;352;973;1148;2121
266.bpmn;354;977;1153;2130
267.bpmn;356;981;1158;2139
268.bpmn;356;984;1161;2145
269.bpmn;358;988;1166;2154
270.bpmn;360;992;1171;2163
271.bpmn;360;995;1174;2169
272.bpmn;362;999;1179;2178
273.bpmn;364;1003;1184;2187
274.bpmn;364;1006;1187;2193
275.bpmn;366;1010;1192;2202
276.bpmn;368;1014;1197;2211
277.bpmn;368;1017;1200;2217
278.bpmn;370;1021;1205;2226
279.bpmn;372;1025;1210;2235
280.bpmn;372;1028;1213;2241
281.bpmn;374;1032;1218;2250
282.bpmn;376;1036;1223;2259
283.bpmn;376;1039;1226;2265
284.bpmn;378;1043;1231;2274
285.bpmn;380;1047;1236;2283
286.bpmn;380;1050;1239;2289
287.bpmn;382;1054;1244;2298
288.bpmn;384;1058;1249;2307
289.bpmn;384;1061;1252;2313
290.bpmn;386;1065;1257;2322
291.bpmn;388;1069;1262;2331
292.bpmn;388;1072;1265;2337
293.bpmn;390;1076;1270;2346
294.bpmn;392;1080;1275;2355
295.bpmn;392;1083;1278;2361
296.bpmn;394;1087;1283;2370
297.bpmn;396;1091;1288;2379
298.bpmn;396;1094;1291;2385
299.bpmn;398;1098;1296;2394
300.bpmn;400;1102;1301;2403
301.bpmn;400;1105;1304;2409
302.bpmn;402;1109;1309;2418
303.bpmn;404;1113;1314;2427
304.bpmn;404;1116;1317;2433
305.bpmn;406;1120;1322;2442
306.bpmn;408;1124;1327;2451
307.bpmn;408;1127;1330;2457
308.bpmn;410;1131;1335;2466
309.bpmn;412;1135;1340;2475
310.bpmn;412;1138;1343;2481
311.bpmn;414;1142;1348;2490
312.bpmn;416;1146;1353;2499
313.bpmn;416;1149;1356;2505
314.bpmn;418;1153;1361;2514
315.bpmn;420;1157;1366;2523
316.bpmn;420;1160;1369;2529
317.bpmn;422;1164;1374;2538
318.bpmn;424;1168;1379;2547
319.bpmn;424;1171;1382;2553
320.bpmn;426;1175;1387;2562
321.bpmn;428;1179;1392;2571
322.bpmn;428;1182;1395;2577
323.bpmn;430;1186;1400;2586
324.bpmn;432;1190;1405;2595
325.bpmn;432;1193;1408;2601
326.bpmn;434;1197;1413;2610
327.bpmn;436;1201;1418;2619
328.bpmn;436;1204;1421;2625
329.bpmn;438;1208;1426;2634
330.bpmn;440;1212;1431;2643
331.bpmn;440;1215;1434;2649
332.bpmn;442;1219;1439;2658
333.bpmn;444;1223;1444;2667
334.bpmn;444;1226;1447;2673
335.bpmn;446;1230;1452;2682
336.bpmn;448;1234;1457;2691
337.bpmn;448;1237;1460;2697
338.bpmn;450;1241;1465;2706
339.bpmn;452;1245;1470;2715
340.bpmn;452;1248;1473;2721
341.bpmn;454;1252;1478;2730
342.bpmn;456;1256;1483;2739
343.bpmn;456;1259;1486;2745
344.bpmn;458;1263;1491;2754
345.bpmn;460;1267;1496;2763
346.bpmn;460;1270;1499;2769
347.bpmn;462;1274;1504;2778
348.bpmn;464;1278;1509;2787
349.bpmn;464;1281;1512;2793
350.bpmn;466;1285;1517;2802
351.bpmn;468;1289;1522;2811
352.bpmn;468;1292;1525;2817
353.bpmn;470;1296;1530;2826
354.bpmn;472;1300;1535;2835
355.bpmn;472;1303;1538;2841
356.bpmn;474;1307;1543;2850
357.bpmn;476;1311;1548;2859
358.bpmn;476;1314;1551;2865
359.bpmn;478;1318;1556;2874
360.bpmn;480;1322;1561;2883
361.bpmn;480;1325;1564;2889
362.bpmn;482;1329;1569;2898
363.bpmn;484;1333;1574;2907
364.bpmn;484;1336;1577;2913
365.bpmn;486;1340;1582;2922
366.bpmn;488;1344;1587;2931
367.bpmn;488;1347;1590;2937
368.bpmn;490;1351;1595;2946
369.bpmn;492;1355;1600;2955
370.bpmn;492;1358;1603;2961
371.bpmn;494;1362;1608;2970
372.bpmn;496;1366;1613;2979
373.bpmn;496;1369;1616;2985
374.bpmn;498;1373;1621;2994
375.bpmn;500;1377;1626;3003
376.bpmn;500;1380;1629;3009
377.bpmn;502;1384;1634;3018
378.bpmn;504;1388;1639;3027
379.bpmn;504;1391;1642;3033
380.bpmn;506;1395;1647;3042
381.bpmn;508;1399;1652;3051
382.bpmn;508;1402;1655;3057
383.bpmn;510;1406;1660;3066
384.bpmn;512;1410;1665;3075
385.bpmn;512;1413;1668;3081
386.bpmn;514;1417;1673;3090
387.bpmn;516;1421;1678;3099
388.bpmn;516;1424;1681;3105
389.bpmn;518;1428;1686;3114
390.bpmn;520;1432;1691;3123
391.bpmn;520;1435;1694;3129
392.bpmn;522;1439;1699;3138
393.bpmn;524;1443;1704;3147
394.bpmn;524;1446;1707;3153
395.bpmn;526;1450;1712;3162
396.bpmn;528;1454;1717;3171
397.bpmn;528;1457;1720;3177
398.bpmn;530;1461;1725;3186
399.bpmn;532;1465;1730;3195
400.bpmn;532;1468;1733;3201
401.bpmn;534;1472;1738;3210
402.bpmn;536;1476;1743;3219
403.bpmn;536;1479;1746;3225
404.bpmn;538;1483;1751;3234
405.bpmn;540;1487;1756;3243
406.bpmn;540;1490;1759;3249
407.bpmn;542;1494;1764;3258
408.bpmn;544;1498;1769;3267
409.bpmn;544;1501;1772;3273
410.bpmn;546;1505;1777;3282
411.bpmn;548;1509;1782;3291
412.bpmn;548;1512;1785;3297
413.bpmn;550;1516;1790;3306
414.bpmn;552;1520;1795;3315
415.bpmn;552;1523;1798;3321
416.bpmn;554;1527;1803;3330
417.bpmn;556;1531;1808;3339
418.bpmn;556;1534;1811;3345
419.bpmn;558;1538;1816;3354
420.bpmn;560;1542;1821;3363
421.bpmn;560;1545;1824;3369
422.bpmn;562;1549;1829;3378
423.bpmn;564;1553;1834;3387
424.bpmn;564;1556;1837;3393
425.bpmn;566;1560;1842;3402
426.bpmn;568;1564;1847;3411
427.bpmn;568;1567;1850;3417
428.bpmn;570;1571;1855;3426
429.bpmn;572;1575;1860;3435
430.bpmn;572;1578;1863;3441
431.bpmn;574;1582;1868;3450
432.bpmn;576;1586;1873;3459
433.bpmn;576;1589;1876;3465
434.bpmn;578;1593;1881;3474
435.bpmn;580;1597;1886;3483
436.bpmn;580;1600;1889;3489
437.bpmn;582;1604;1894;3498
438.bpmn;584;1608;1899;3507
439.bpmn;584;1611;1902;3513
440.bpmn;586;1615;1907;3522
441.bpmn;588;1619;1912;3531
442.bpmn;588;1622;1915;3537
443.bpmn;590;1626;1920;3546
444.bpmn;592;1630;1925;3555
445.bpmn;592;1633;1928;3561
446.bpmn;594;1637;1933;3570
447.bpmn;596;1641;1938;3579
448.bpmn;596;1644;1941;3585
449.bpmn;598;1648;1946;3594
450.bpmn;600;1652;1951;3603
451.bpmn;600;1655;1954;3609
452.bpmn;602;1659;1959;3618
453.bpmn;604;1663;1964;3627
454.bpmn;604;1666;1967;3633
455.bpmn;606;1670;1972;3642
456.bpmn;608;1674;1977;3651
457.bpmn;608;1677;1980;3657
458.bpmn;610;1681;1985;3666
459.bpmn;612;1685;1990;3675
460.bpmn;612;1688;1993;3681
461.bpmn;614;1692;1998;3690
462.bpmn;616;1696;2003;3699
463.bpmn;616;1699;2006;3705
464.bpmn;618;1703;2011;3714
465.bpmn;620;1707;2016;3723
466.bpmn;620;1710;2019;3729
467.bpmn;622;1714;2024;3738
468.bpmn;624;1718;2029;3747
469.bpmn;624;1721;2032;3753
470.bpmn;626;1725;2037;3762
471.bpmn;628;1729;2042;3771
472.bpmn;628;1732;2045;3777
473.bpmn;630;1736;2050;3786
474.bpmn;632;1740;2055;3795
475.bpmn;632;1743;2058;3801
476.bpmn;634;1747;2063;3810
477.bpmn;636;1751;2068;3819
478.bpmn;636;1754;2071;3825
479.bpmn;638;1758;2076;3834
480.bpmn;640;1762;2081;3843
481.bpmn;640;1765;2084;3849
482.bpmn;642;1769;2089;3858
483.bpmn;644;1773;2094;3867
484.bpmn;644;1776;2097;3873
485.bpmn;646;1780;2102;3882
486.bpmn;648;1784;2107;3891
487.bpmn;648;1787;2110;3897
488.bpmn;650;1791;2115;3906
489.bpmn;652;1795;2120;3915
490.bpmn;652;1798;2123;3921
491.bpmn;654;1802;2128;3930
492.bpmn;656;1806;2133;3939
493.bpmn;656;1809;2136;3945
494.bpmn;658;1813;2141;3954
495.bpmn;660;1817;2146;3963
496.bpmn;660;1820;2149;3969
497.bpmn;662;1824;2154;3978
498.bpmn;664;1828;2159;3987
499.bpmn;664;1831;2162;3993
500.bpmn;666;1835;2167;4002
